SECONDS,SLANT RANGE(M),SLANT VELOCITY(M/S),DOPPLER (Hz),RANGE BIN,RB,AZIMUTH,ELEVATION
1656348100,680740.148695785,124.427001972914,-4.15043631009758,145.32510192945,145,329.624087109824,-1.96132357095418
1656348100.04,680744.628620509,124.428014059261,-4.15047006867826,145.326058308353,145,329.623682309332,-1.96136128427396
1656348100.08,680749.115189217,124.42902744308,-4.15050387196243,145.327016105622,145,329.623277019986,-1.96139895421885
1656348100.12,680753.608381645,124.430042120223,-4.15053771995008,145.327975316928,145,329.622871243308,-1.96143658091915
1656348100.16,680758.108204367,124.4310580926,-4.15057160891593,145.328935943677,145,329.622464978396,-1.96147416472905
1656348100.2,680762.614583477,124.432075343953,-4.15060553885996,145.32989797009,145,329.622058231616,-1.96151170533083
1656348100.24,680767.127525511,124.433093876184,-4.15063951537013,145.330861397563,145,329.621651002069,-1.96154920307893
1656348100.28,680771.647010205,124.434113685146,-4.15067353099585,145.331826221769,145,329.621243291277,-1.96158665810366
1656348100.32,680776.173017293,124.435134766692,-4.15070759132504,145.332792438383,145,329.620835100761,-1.96162407053533
1656348100.36,680780.705526511,124.436157116673,-4.15074169263244,145.333760043079,145,329.620426432044,-1.96166144050424
1656348100.4,680785.244544668,124.437180737046,-4.15077583864331,145.334729037309,145,329.620017284206,-1.96169876836305
1656348100.44,680789.789997389,124.438205611461,-4.15081002376974,145.335699405196,145,329.619607663648,-1.96173605379709
1656348100.48,680794.341891445,124.439231741867,-4.150844251737,145.336671148186,145,329.619197569454,-1.96177329715929
1656348100.52,680798.900206572,124.440259124118,-4.15087852068245,145.337644261953,145,329.618787003145,-1.96181049857994
1656348100.56,680803.464922503,124.441287754066,-4.15091283246875,145.338618742171,145,329.618375966243,-1.96184765818935
1656348100.6,680808.036018975,124.442317627563,-4.15094718523324,145.339594584512,145,329.61796446027,-1.96188477611783
1656348100.64,680812.613503025,124.443348746611,-4.15098158083856,145.34057179048,145,329.617552484291,-1.96192185271654
1656348100.68,680817.19729982,124.444381094771,-4.15101601555943,145.3415503441,145,329.617140044739,-1.96195888767382
1656348100.72,680821.787416361,124.445414674039,-4.1510504912585,145.342530246865,145,329.616727140681,-1.96199588134107
1656348100.76,680826.383832383,124.446449480267,-4.15108500793576,145.34351149445,145,329.616313773639,-1.9620328338486
1656348100.8,680830.98652762,124.447485509307,-4.15111956745386,145.344494082529,145,329.615899945135,-1.96206974532673
1656348100.84,680835.595481808,124.448522757014,-4.15115416608751,145.345478006774,145,329.61548565669,-1.96210661590574
1656348100.88,680840.21070221,124.449561225433,-4.15118880569935,145.346463268737,145,329.615070907354,-1.96214344593535
1656348100.92,680844.832113542,124.450600898037,-4.15122348628938,145.347449852347,145,329.614655703591,-1.96218023510682
1656348100.96,680849.45972303,124.451641776867,-4.15125820599496,145.348437759145,145,329.614240044453,-1.9622169837701
1656348101,680854.09351041,124.452683857776,-4.15129296481609,145.349426984805,145,329.613823931462,-1.96225369205548
1656348101.04,680858.733455416,124.453727136616,-4.15132776461542,145.350417525002,145,329.613407366139,-1.96229036009328
1656348101.08,680863.379537783,124.454771609241,-4.15136260539293,145.351409375409,145,329.612990350006,-1.9623269880138
1656348101.12,680868.031737247,124.455817271506,-4.151397485286,145.3524025317,145,329.612572884586,-1.96236357594734
1656348101.16,680872.690061326,124.456864125506,-4.15143240429461,145.35339699548,145,329.612154968906,-1.96240012424193
1656348101.2,680877.354434225,124.457912154615,-4.15146736241877,145.354392750569,145,329.611736609472,-1.96243663259219
1656348101.24,680882.024863425,124.458961360924,-4.15150235965848,145.355389798563,145,329.611317805315,-1.96247310134639
1656348101.28,680886.701328663,124.460011740287,-4.15153739601374,145.356388135136,145,329.610898557958,-1.96250953063483
1656348101.32,680891.383809672,124.461063288557,-4.15157247148454,145.357387755962,145,329.610478868921,-1.96254592058782
1656348101.36,680896.072286188,124.462116001588,-4.15160758793354,145.358388656715,145,329.610058739726,-1.96258227133565
1656348101.4,680900.766765946,124.46316988152,-4.15164274163544,145.359390839047,145,329.609638169388,-1.96261858322496
1656348101.44,680905.467172717,124.464224911642,-4.15167793445289,145.360394286683,145,329.609217164442,-1.96265485595318
1656348101.48,680910.173514201,124.465281094089,-4.1517131626606,145.361399001268,145,329.608795723903,-1.96269108986716
1656348101.52,680914.885770133,124.466338424713,-4.1517484318465,145.362404978475,145,329.608373849294,-1.9627272850972
1656348101.56,680919.603920246,124.467396899369,-4.15178374014795,145.363412213978,145,329.607951542136,-1.96276344177362
1656348101.6,680924.327944278,124.468456513913,-4.15181908383965,145.364420703451,145,329.607528803951,-1.96279956002672
1656348101.64,680929.057850172,124.469517270523,-4.15185446850955,145.365430448591,145,329.607105633738,-1.96283564020174
1656348101.68,680933.79356128,124.470579152409,-4.15188988670707,145.366441433033,145,329.606682038063,-1.96287168199887
1656348101.72,680938.53508551,124.471642161746,-4.15192534402013,145.367453658466,145,329.606258015926,-1.9629076857636
1656348101.76,680943.282402598,124.472706294388,-4.15196084231138,145.368467120565,145,329.605833568849,-1.96294365162622
1656348101.8,680948.035492279,124.47377154619,-4.15199637599289,145.369481815002,145,329.605408698355,-1.96297957971704
1656348101.84,680952.794334289,124.474837913006,-4.15203194320202,145.370497737453,145,329.604983405964,-1.96301547016636
1656348101.88,680957.558936778,124.475905397059,-4.15206755325198,145.371514889657,145,329.60455769066,-1.96305132331808
1656348101.92,680962.329222684,124.476973981477,-4.15210319682956,145.372533255162,145,329.604131559039,-1.9630871388751
1656348101.96,680967.105200123,124.478043668474,-4.15213887766004,145.373552835702,145,329.603705010088,-1.96312291718154
