Date,Check Number,Description,Debit,Credit,Running Balance
,,,,,$9197.32
10/25/2004,0006283,CHECK,$80.00,,$9117.32
10/26/2004,6285,AMERICAN EXPRESSCHECK PYMT,$535.00,,$8582.32
10/26/2004,,SFWY 1084 PIDGEON HILL,$40.00,,$8542.32
10/26/2004,0006286,CHECK,$33.00,,$8509.32
10/26/2004,0006287,CHECK,$76.00,,$8433.32
10/27/2004,,DEPOSIT,,$157.89,$8591.21
10/29/2004,0006281,CHECK,$10.00,,$8581.21
10/29/2004,0006288,CHECK,$27.98,,$8553.23
10/29/2004,0006289,CHECK,$115.68,,$8437.55
11/02/2004,0006293,CHECK,$32.96,,$8404.59
11/02/2004,0006292,CHECK,$300.00,,$8104.59
11/03/2004,0006276,CHECK,$25.00,,$8079.59
11/03/2004,0006291,CHECK,$25.00,,$8054.59
11/03/2004,0006241,CHECK,$54.00,,$8000.59
11/03/2004,0006297,CHECK,$200.00,,$7800.59
11/04/2004,,ITT ADVANCED ENGPAYROLL,,$3219.18,$11019.77
11/04/2004,0006295,CHECK,$26.79,,$10992.98
11/05/2004,0006298,CHECK,$30.43,,$10962.55
11/05/2004,0006272,CHECK,$850.00,,$10112.55
11/05/2004,0006290,CHECK,$850.00,,$9262.55
11/09/2004,,DEPOSIT,,$230.00,$9492.55
11/09/2004,,SFWY 1084 PIDGEON HILL,$40.00,,$9452.55
11/09/2004,0006296,CHECK,$22.79,,$9429.76
11/09/2004,0006235,CHECK,$25.00,,$9404.76
11/10/2004,,PROGRESSIVE INS.INS PREM,$95.50,,$9309.26
11/10/2004,0006247,CHECK,$110.00,,$9199.26
11/12/2004,,STERLING SAFEWAY,$120.00,,$9079.26
11/12/2004,0006306,CHECK,$61.00,,$9018.26
11/12/2004,0006308,CHECK,$93.00,,$8925.26
11/12/2004,0006303,CHECK,$1520.00,,$7405.26
11/15/2004,,SHOPPERS FOOD/PHARM 26,$23.40,,$7381.86
11/15/2004,0006310,CHECK,$73.52,,$7308.34
11/15/2004,0006307,CHECK,$12.00,,$7296.34
11/15/2004,0006299,CHECK,$21.25,,$7275.09
11/15/2004,0006305,CHECK,$124.00,,$7151.09
11/16/2004,0006304,CHECK,$130.00,,$7021.09
11/16/2004,0006309,CHECK,$139.35,,$6881.74
11/17/2004,0006252,CHECK,$46.00,,$6835.74
11/17/2004,0006313,CHECK,$200.00,,$6635.74
11/18/2004,,ITT ADVANCED ENGPAYROLL,,$3142.36,$9778.10
11/19/2004,,INTEREST PAYMENT,,$0.68,$9778.78
11/19/2004,0006314,CHECK,$214.35,,$9564.43
