"Date","Check Number","Description","Debit","Credit","Running Balance"
,,,,,
08/19/2005,6575,"CHECK",298.48,,13110.97
08/22/2005,,"FRONT ROYAL",40,,13070.97
08/22/2005,6577,"CHECK",21.33,,13049.64
08/22/2005,6571,"CHECK",149.76,,12899.88
08/24/2005,6578,"CHECK",11.48,,12888.4
08/24/2005,6556,"CHECK",40,,12848.4
08/25/2005,,"ITT ADVANCED ENGPAYROLL",,3423.56,16271.96
08/26/2005,6581,"CHECK",14.28,,16257.68
08/26/2005,6576,"CHECK",14.7,,16242.98
08/26/2005,6580,"CHECK",42.75,,16200.23
08/29/2005,6582,"CHECK",71.76,,16128.47
08/30/2005,,"OTHER ATM NETWORK FEE",2,,16126.47
08/30/2005,,"INSTITUTION_NAM",20,,16106.47
08/31/2005,6586,"DOM VA NC POWER BILLPYMT",166,,15940.47
08/31/2005,6587,"CHECK",67,,15873.47
08/31/2005,6588,"CHECK",117.08,,15756.39
08/31/2005,6583,"CHECK",136.44,,15619.95
09/01/2005,,"DEPOSIT",,1230.32,16850.27
09/01/2005,6589,"CHECK",1329,,15521.27
09/02/2005,6579,"CHECK",118.25,,15403.02
09/06/2005,,"POTOMAC RUN 2",40,,15363.02
09/06/2005,,"POTOMAC RUN 2",100,,15263.02
09/06/2005,6591,"CHECK",54.92,,15208.1
09/08/2005,,"ITT ADVANCED ENGPAYROLL",,3130.75,18338.85
09/08/2005,6593,"CHECK",74.56,,18264.29
09/08/2005,6584,"CHECK",500,,17764.29
09/09/2005,6592,"CHECK",20,,17744.29
09/09/2005,6590,"CHECK",90,,17654.29
09/09/2005,6565,"CHECK",850,,16804.29
09/09/2005,6585,"CHECK",850,,15954.29
09/12/2005,,"PROGRESSIVE INS.INS PREM",446.05,,15508.24
09/12/2005,989,"CHECK",39,,15469.24
09/12/2005,6594,"CHECK",400,,15069.24
09/13/2005,,"SFWY 1084 PIDGEON HILL",40,,15029.24
09/13/2005,6603,"CHECK",35,,14994.24
09/14/2005,6597,"CHECK",137.03,,14857.21
09/14/2005,6607,"CHECK",226,,14631.21
09/14/2005,6598,"CHECK",300,,14331.21
09/16/2005,6604,"CHECK",12,,14319.21
09/16/2005,6601,"CHECK",267,,14052.21
09/19/2005,,"HERNDON SAFEWAY",40,,14012.21
09/19/2005,6610,"CHECK",14.63,,13997.58
09/19/2005,6605,"CHECK",35,,13962.58
09/19/2005,6609,"CHECK",35,,13927.58
09/19/2005,6602,"CHECK",62,,13865.58
09/19/2005,6611,"CHECK",200,,13665.58
09/21/2005,,"INTEREST PAYMENT",,1.38,13666.96
09/21/2005,6595,"CHECK",100,,13566.96
,,,,,
"	",,,,,
