Date,Check Number,Description,Debit,Credit,Running Balance

07/24/2006,0006972,CHECK,$91.18,,$7818.48
07/24/2006,0006930,CHECK,$520.00,,$7298.48
07/26/2006,,STATE FARM RO 27SFPP,$342.06,,$6956.42
07/26/2006,0006976,CHECK,$300.00,,$6656.42
07/27/2006,,ITT ADVANCED ENGPAYROLL,,$3162.47,$9818.89
07/27/2006,0006932,CHECK,$88.00,,$9730.89
07/27/2006,0006975,CHECK,$122.73,,$9608.16
07/31/2006,,DEPOSIT,,$60.00,$9668.16
07/31/2006,0006982,CHASE           CHECK PYMT,$981.00,,$8687.16
08/01/2006,0006979,CHECK,$118.00,,$8569.16
08/01/2006,0006958,CHECK,$200.00,,$8369.16
08/02/2006,,DEPOSIT,,$1995.00,$10364.16
08/02/2006,0006980,CHECK,$198.00,,$10166.16
08/02/2006,0006977,CHECK,$460.00,,$9706.16
08/04/2006,0006981,CHECK,$20.00,,$9686.16
08/04/2006,0006983,CHECK,$53.34,,$9632.82
08/04/2006,0006984,CHECK,$60.90,,$9571.92
08/07/2006,,POTOMAC RUN 1,$240.00,,$9331.92
08/07/2006,0006965,CHECK,$850.00,,$8481.92
08/07/2006,0006978,CHECK,$850.00,,$7631.92
08/08/2006,0006946,CHECK,$60.00,,$7571.92
08/08/2006,0006987,CHECK,$60.00,,$7511.92
08/08/2006,0006986,CHECK,$200.00,,$7311.92
08/10/2006,,OTHER ATM NETWORK FEE,$2.00,,$7309.92
08/10/2006,,ITT ADVANCED ENGPAYROLL,,$3162.46,$10472.38
08/10/2006,,CICI'S PIZ,$201.50,,$10270.88
08/10/2006,0006929,CHECK,$20.00,,$10250.88
08/10/2006,0006988,CHECK,$270.00,,$9980.88
08/14/2006,,OTHER ATM NETWORK FEE,$2.00,,$9978.88
08/14/2006,,5/3 BK C. OH OF,$402.50,,$9576.38
08/14/2006,0006989,CHECK,$81.00,,$9495.38
08/15/2006,0006999,CHECK,$13.87,,$9481.51
08/15/2006,0006991,CHECK,$25.00,,$9456.51
08/17/2006,0006994,WASH GAS UTILITYCHECKPAYMT,$38.00,,$9418.51
08/17/2006,0006995,DOM VA NC POWER BILLPYMT,$185.00,,$9233.51
08/17/2006,,COUNTRYSIDE,$100.00,,$9133.51
08/17/2006,0006974,CHECK,$9.95,,$9123.56
08/17/2006,0006998,CHECK,$128.00,,$8995.56
08/18/2006,,DEPOSIT,,$1108.00,$10103.56
08/18/2006,,SHOPPERS FOOD/PHARM 26,$93.98,,$10009.58
08/18/2006,0006997,CHECK,$15.00,,$9994.58
08/18/2006,0007000,CHECK,$150.00,,$9844.58
08/21/2006,,INTEREST PAYMENT,,$0.76,$9845.34
08/21/2006,0007003,AMERICAN EXPRESSCHECK PYMT,$1466.00,,$8379.34
08/21/2006,0006996,CHECK,$151.00,,$8228.34
