Date,Check Number,Description,Debit,Credit,Running Balance

11/20/2006,,DIRECT CHECKS   CK ORDER,$44.10,,$11623.28
11/20/2006,,HUNTERS WOODS SAFEWAY,$40.00,,$11583.28
11/20/2006,0007077,CHECK,$100.00,,$11483.28
11/21/2006,0007081,WASH GAS UTILITY CHECKPAYMT,$73.00,,$11410.28
11/21/2006,0007083,CHECK,$731.00,,$10679.28
11/21/2006,0007070,CHECK,$1700.00,,$8979.28
11/22/2006,0007082,CHECK,$65.00,,$8914.28
11/24/2006,,SHOPPERS FOOD/PHARM 26,$7.49,,$8906.79
11/27/2006,0007085,CHASE CHECK PYMT,$1463.00,,$7443.79
11/27/2006,,COUNTRYSIDE,$60.00,,$7383.79
11/27/2006,0007084,CHECK,$160.00,,$7223.79
11/28/2006,0007086,VZ WIRELESS ARC ARC,$85.00,,$7138.79
11/28/2006,,STATE FARM RO 27SFPP,$168.76,,$6970.03
11/30/2006,,FIDELITY EMP SVCZETA,,$8352.97,$15323.00
12/04/2006,,POTOMAC RUN 1,$60.00,,$15263.00
12/05/2006,0007091,DOM VA NC POWER BILLPYMT,$90.00,,$15173.00
12/05/2006,0007090,CHASE           CHECK PYMT,$3665.00,,$11508.00
12/05/2006,0007092,CHECK,$300.00,,$11208.00
12/07/2006,,POTOMAC RUN 1,$120.00,,$11088.00
12/07/2006,0007093,CHECK,$60.00,,$11028.00
12/08/2006,,DEPOSIT,,$1500.00,$12528.00
12/08/2006,0007095,CHECK,$21.00,,$12507.00
12/11/2006,0007094,CHECK,$590.00,,$11917.00
12/12/2006,0007097,CHECK,$20.24,,$11896.76
12/13/2006,0007100,WASH GAS UTILITYCHECKPAYMT,$146.00,,$11750.76
12/13/2006,0007096,CHECK,$20.00,,$11730.76
12/13/2006,0007087,CHECK,$400.00,,$11330.76
12/13/2006,0007088,CHECK,$1135.00,,$10195.76
12/14/2006,,ITT ADVANCED ENGPAYROLL,,$40.00,$10235.76
12/14/2006,0007099,CHECK,$64.00,,$10171.76
12/15/2006,0007101,CHECK,$15.00,,$10156.76
12/15/2006,0007104,CHECK,$200.00,,$9956.76
12/19/2006,,INTEREST PAYMENT,,$0.96,$9957.72
12/19/2006,,COUNTRYSIDE,$200.00,,$9757.72
