"Date","Check Number","Description","Debit","Credit","Running Balance"
,,,,,
08/22/2007,7324,"CHECK",391.69,,9048.53
08/23/2007,7323,"VZ WIRELESS ARC ARC",86,,8962.53
08/23/2007,7314,"CHECK",195,,8767.53
08/23/2007,7320,"CHECK",1585,,7182.53
08/24/2007,7322,"Wash Gas UtilityCHECK PYMT",38,,7144.53
08/27/2007,,"DEPOSIT",,38,7182.53
08/27/2007,,"DEPOSIT",,1988.25,9170.78
08/27/2007,,"POTOMAC RUN #2",120,,9050.78
08/27/2007,7321,"CHECK",62,,8988.78
08/28/2007,,"STATE FARM RO 27SFPP",265.44,,8723.34
08/28/2007,7299,"CHECK",305,,8418.34
08/29/2007,7309,"CHECK",1700,,6718.34
08/30/2007,7327,"CHECK",400,,6318.34
08/31/2007,,"FIDELITY EMP SVCZETA",,8723.69,15042.03
09/04/2007,7331,"CHASE           CHECK PYMT",67,,14975.03
09/04/2007,7334,"CHASE           CHECK PYMT",3122,,11853.03
09/05/2007,7332,"DOM VA NC POWER BILLPYMT",131,,11722.03
09/05/2007,,"SOU GIANT FOOD INC 731",69.3,,11652.73
09/05/2007,7328,"CHECK",26,,11626.73
09/05/2007,7325,"CHECK",36,,11590.73
09/05/2007,7335,"CHECK",151.31,,11439.42
09/05/2007,7333,"CHECK",300,,11139.42
09/06/2007,,"DEPOSIT",,336.4,11475.82
09/06/2007,,"POTOMAC RUN #2",140,,11335.82
09/06/2007,7330,"CHECK",1700,,9635.82
09/07/2007,7336,"WATSONSALSBURYHEPURCHASE",10,,9625.82
09/07/2007,,"BAJA FRESH MEX G",11.55,,9614.27
09/10/2007,7329,"CHECK",1190,,8424.27
09/11/2007,,"BLOOM #2712",34.75,,8389.52
09/12/2007,7339,"CHECK",28.94,,8360.58
09/13/2007,7337,"CHECK",100,,8260.58
09/13/2007,7319,"CHECK",220,,8040.58
09/17/2007,,"DEPOSIT",,661.6,8702.18
09/17/2007,,"COUNTRYSIDE",260,,8442.18
09/17/2007,,"SOU GIANT FOOD INC 832",94.98,,8347.2
09/19/2007,,"INTEREST PAYMENT",,0.74,8347.94
09/19/2007,,"BLOOM #2712",46.85,,8301.09
09/19/2007,,"BLOOM #2712",54.22,,8246.87
