"Date","Check Number","Description","Debit","Credit","Running Balance"
,,,,,0
"99/99/9999",6468,"VOID CHECK",56.72,,-56.72
"99/99/9999",6481,"VOID CHECK",0,,-56.72
"99/99/9999",6490,"VOID CHECK",0,,-56.72
"99/99/9999",6501,"VOID CHECK",25,,-81.72
"99/99/9999",6514,"VOID CHECK",0,,-81.72
"99/99/9999",6519,"VOID CHECK",25,,-106.72
"99/99/9999",6524,"VOID CHECK",25,,-131.72
"99/99/9999",6540,"VOID CHECK",15.59,,-147.31
"99/99/9999",6549,"VOID CHECK",37.1,,-184.41
"99/99/9999",6648,"VOID CHECK",0,,-184.41
"99/99/9999",6652,"VOID CHECK",0,,-184.41
"99/99/9999",6661,"VOID CHECK",0,,-184.41
"99/99/9999",6679,"VOID CHECK",0,,-184.41
"99/99/9999",6682,"VOID CHECK",0,,-184.41
"99/99/9999",6683,"VOID CHECK",0,,-184.41
"99/99/9999",6702,"VOID CHECK",100.15,,-284.56
"99/99/9999",6722,"VOID CHECK",0,,-284.56
"99/99/9999",6722,"VOID CHECK",0,,-284.56
"99/99/9999",6730,"VOID CHECK",0,,-284.56
"99/99/9999",6763,"VOID CHECK",0,,-284.56
"99/99/9999",6805,"VOID CHECK",0,,-284.56
"99/99/9999",6819,"VOID CHECK",0,,-284.56
"99/99/9999",6829,"VOID CHECK",0,,-284.56
"99/99/9999",6834,"VOID CHECK",0,,-284.56
"99/99/9999",6926,"VOID CHECK",0,,-284.56
"99/99/9999",6936,"VOID CHECK",0,,-284.56
"99/99/9999",6973,"VOID CHECK",0,,-284.56
"99/99/9999",6990,"VOID CHECK",0,,-284.56
"11/05/2006",7078,"VOID CHECK",0,,-50.00
"03/05/2007",7175,"VOID CHECK",0,,-00.00
"03/22/2007",7188,"VOID CHECK",0,,-14.97
"03/22/2007",7189,"VOID CHECK",0,,-62.21
"04/03/2007",7203,"VOID CHECK",0,,-60.45
"99/99/9999",7298,"VOID CHECK",0,,-00.00
"05/18/2007",7247,"VOID CHECK",0,,-50.00
"09/05/2007",7336,"VOID CHECK",0,,-10.00
"10/10/2007",7365,"VOID CHECK",0,,-3000.00
"11/05/2007",7380,"VOID CHECK",0,,-3000.00
Date,Check Number,Description,Debit,Credit,Running Balance

12/21/2005,0006731,CHECK,$490.00,,$10423.85
12/22/2005,0006728,AMERICAN EXPRESSCHECK PYMT,$1015.00,,$9408.85
12/23/2005,0006725,CHECK,$23.40,,$9385.45
12/23/2005,0006727,CHECK,$69.00,,$9316.45
12/28/2005,,DIRECT CHECKS   CK ORDER,$44.60,,$9271.85
12/28/2005,0006723,CHECK,$35.00,,$9236.85
12/29/2005,,ITT ADVANCED ENGPAYROLL,,$3379.83,$12616.68
12/29/2005,,POTOMAC RUN 2,$60.00,,$12556.68
01/03/2006,,POTOMAC RUN 1,$60.00,,$12496.68
01/03/2006,0006735,CHECK,$9.90,,$12486.78
01/04/2006,0006733,CHECK,$45.22,,$12441.56
01/04/2006,0006687,CHECK,$300.00,,$12141.56
01/05/2006,0006739,DOM VA NC POWER BILLPYMT,$90.00,,$12051.56
01/05/2006,0006738,CHECK,$69.00,,$11982.56
01/05/2006,0006741,CHECK,$300.00,,$11682.56
01/05/2006,0006729,CHECK,$37.50,,$11645.06
01/06/2006,0006734,CHECK,$21.00,,$11624.06
01/06/2006,0006732,CHECK,$50.00,,$11574.06
01/09/2006,,POTOMAC RUN 2,$40.00,,$11534.06
01/09/2006,0006742,CHECK,$25.00,,$11509.06
01/09/2006,0006740,CHECK,$1554.00,,$9955.06
01/10/2006,,PROGRESSIVE INS.INS PREM,$306.70,,$9648.36
01/10/2006,,CHECK,$39.00,,$9609.36
01/12/2006,,ITT ADVANCED ENGPAYROLL,,$3109.84,$12719.20
01/17/2006,,OTHER ATM NETWORK FEE,$2.00,,$12717.20
01/17/2006,,INSTITUTION_NAM,$20.00,,$12697.20
01/17/2006,0006745,CHECK,$40.71,,$12656.49
01/17/2006,0006746,CHECK,$84.10,,$12572.39
01/18/2006,,DEPOSIT,,$306.29,$12878.68
01/18/2006,0006749,WASH GAS UTILITYCHECKPAYMT,$247.00,,$12631.68
01/18/2006,0006744,CHECK,$2500.00,,$10131.68
01/19/2006,0006753,AMERICAN EXPRESSCHECK PYMT,$1632.00,,$8499.68
01/19/2006,0006751,CHECK,$15.00,,$8484.68
01/19/2006,0006750,CHECK,$65.00,,$8419.68
01/19/2006,0006736,CHECK,$75.00,,$8344.68
01/19/2006,0006743,CHECK,$80.00,,$8264.68
01/19/2006,0006752,CHECK,$340.24,,$7924.44
01/19/2006,0006747,CHECK,$440.00,,$7484.44
01/20/2006,,INTEREST PAYMENT,,$0.93,$7485.37
01/20/2006,,COUNTRYSIDE,$20.00,,$7465.37
01/20/2006,0006757,CHECK,$425.00,,$7040.37

	
Date,Check Number,Description,Debit,Credit,Running Balance

01/23/2006,,SFWY 1084 PIDGEON HILL,$120.00,,$6920.37
01/24/2006,0006759,CHECK,$80.78,,$6839.59
01/24/2006,0006755,CHECK,$229.00,,$6610.59
01/26/2006,,ITT ADVANCED ENGPAYROLL,,$3370.15,$9980.74
01/26/2006,,POTOMAC RUN 2,$40.00,,$9940.74
01/30/2006,,DEPOSIT,,$118.41,$10059.15
01/30/2006,,POTOMAC RUN 2,$20.00,,$10039.15
01/30/2006,0006758,CHECK,$20.00,,$10019.15
01/30/2006,0006762,CHECK,$368.82,,$9650.33
01/30/2006,0006706,CHECK,$850.00,,$8800.33
01/30/2006,0006737,CHECK,$850.00,,$7950.33
01/31/2006,0006773,CHECK,$320.00,,$7630.33
01/31/2006,0006761,CHECK,$4.06,,$7626.27
01/31/2006,0006765,CHECK,$200.00,,$7426.27
