Date,Check Number,Description,Debit,Credit,Running Balance

08/22/2008,0007538,CHECK,$3516.00,,$19678.96
08/25/2008,,NON SUNTRUST ATM FEE,$2.00,,$19676.96
08/25/2008,,COMMUNITY BANK,$100.00,,$19576.96
08/26/2008,,NON SUNTRUST ATM FEE,$2.00,,$19574.96
08/26/2008,,ZETA ASSOCIATESBERGMAN,,$16325.00,$35899.96
08/26/2008,,STATE FARM RO 27SFPP,$294.23,,$35605.73
08/26/2008,,COMMUNITY BANK,$40.00,,$35565.73
08/27/2008,,NON SUNTRUST ATM FEE,$2.00,,$35563.73
08/27/2008,,COMMUNITY BANK,$280.37,,$35283.36
08/28/2008,,NON SUNTRUST ATM FEE,$2.00,,$35281.36
08/28/2008,,COMMUNITY BANK,$200.00,,$35081.36
08/28/2008,0007562,CHECK,$16325.00,,$18756.36
08/29/2008,,FIDELITY EMP SVCZETA,,$10168.42,$28924.78
08/29/2008,,FIDELITY EMP SVCZETA,,$10809.82,$39734.60
09/02/2008,,NON SUNTRUST ATM FEE,$2.00,,$39732.60
09/02/2008,0007560,CHASE           CHECK PYMT,$28.00,,$39704.60
09/02/2008,0007560,VZ WIRELESS ARC ARC,$56.00,,$39648.60
09/02/2008,0007559,CHASE           CHECK PYMT,$10709.00,,$28939.60
09/02/2008,,COMMUNITY BANK,$186.92,,$28752.68
09/02/2008,,CNS AAFES          431,$85.61,,$28667.07
09/02/2008,0007563,CHECK,$2000.00,,$26667.07
09/02/2008,0007564,CHECK,$2000.00,,$24667.07
09/09/2008,,NON SUNTRUST ATM FEE,$2.00,,$24665.07
09/09/2008,,COMMUNITY BANK,$100.00,,$24565.07
09/09/2008,0007566,CHECK,$300.00,,$24265.07
09/10/2008,,NON SUNTRUST ATM FEE,$2.00,,$24263.07
09/10/2008,,COMMUNITY BANK,$100.00,,$24163.07
09/10/2008,0007565,CHECK,$1100.00,,$23063.07
09/15/2008,,MISAWA COMMISSA BLDG 3,$97.62,,$22965.45
09/15/2008,,CNS AAFES          760,$247.89,,$22717.56
09/16/2008,,MISAWA COMMISSA BLDG 3,$127.53,,$22590.03
09/18/2008,,INTEREST PAYMENT,,$2.12,$22592.15
09/18/2008,,MISAWA COMMISSA BLDG 3,$42.44,,$22549.71
09/18/2008,,CNS AAFES          262,$127.26,,$22422.45
09/22/2008,,NON SUNTRUST ATM FEE,$2.00,,$22420.45
09/22/2008,,COMMUNITY BANK,$100.00,,$22320.45
09/22/2008,,MISAWA COMMISSA BLDG 3,$60.54,,$22259.91
09/22/2008,,MISAWA COMMISSA BLDG 3,$94.12,,$22165.79
09/22/2008,0007542,CHECK,$798.00,,$21367.79
09/22/2008,0007540,CHECK,$1100.00,,$20267.79
Date,Check Number,Description,Debit,Credit,Running Balance

09/22/2008,,NON SUNTRUST ATM FEE,$2.00,,$22420.45
09/22/2008,,COMMUNITY BANK,$100.00,,$22320.45
09/22/2008,,MISAWA COMMISSA BLDG 3,$60.54,,$22259.91
09/22/2008,,MISAWA COMMISSA BLDG 3,$94.12,,$22165.79
09/22/2008,0007542,CHECK,$798.00,,$21367.79
09/22/2008,0007540,CHECK,$1100.00,,$20267.79
